'publication_title'	'print_identifier'	'online_identifier'	'date_first_issue_online'	'num_first_vol_online'	'num_first_issue_online'	'date_last_issue_online'	'num_last_vol_online'	'num_last_issue_online'	'title_url'	'first_author'	'title_id'	'embargo_info'	'coverage_depth'	'coverage_notes'	'publisher_name'	'full_coverage'	'collection'	'discipline'	'date_added_online'	'catalog_identifier_oclc'	'catalog_identifier_lccn'
'American Journal of Botany'	'0002-9122'	'1537-2197'	'1914-01-01'	'1'	'1'	'1922-12-01'	'9'	'10'	'http://www.jstor.org/action/showPublication?journalCode=americanjbotany'		'americanjbotany'	'P6Y'	'fulltext'	'5 years'	'Botanical Society of America'	'1914-01-01 - 2006-12-01'	'Biological Sciences Collection;Ecology & Botany Collection;For-Profit Academic Biological Sciences Collection;For-Profit Academic Life Sciences Collection;Life Sciences Collection'	'Biological Sciences;Botany & Plant Sciences'	'2000-11-01'	'45446639'	'00-227435'
'American Journal of Mathematics'	'0002-9327'	'1080-6377'	'1878-01-01'	'1'	'1'	'1922-10-01'	'44'	'4'	'http://www.jstor.org/action/showPublication?journalCode=amerjmath'		'amerjmath'	'P6Y'	'fulltext'	'5 years'	'The Johns Hopkins University Press'	'1878-01-01 - 2006-12-01'	'Arts & Sciences I Collection;For-Profit Academic Arts & Sciences I Collection;Mathematics & Statistics Collection'	'Mathematics'	'1999-11-01'	'42882511'	'sn99-23443'
'American Journal of Sociology'	'0002-9602'	'1537-5390'	'1895-07-01'	'1'	'1'	'1922-11-01'	'28'	'3'	'http://www.jstor.org/action/showPublication?journalCode=amerjsoci'		'amerjsoci'		'fulltext'	'Moving Wall: 5 years'	'The University of Chicago Press'	'1895-07-01 - 2011-11-01'	'Arts & Sciences I Collection;For-Profit Academic Arts & Sciences I Collection'	'Sociology'	'1999-08-01'	'42017129'	'sn99-23420'
'American Midland Naturalist'	'0003-0031'	'1938-4238'	'1909-12-01'	'1'	'5'	'1922-11-01'	'8'	'6'	'http://www.jstor.org/action/showPublication?journalCode=amermidlnatu'		'amermidlnatu'	'P4Y'	'fulltext'	'3 years'	'The University of Notre Dame'	'1909-12-01 - 2008-10-01'	'Biological Sciences Collection;Ecology & Botany Collection;For-Profit Academic Biological Sciences Collection;For-Profit Academic Life Sciences Collection;Life Sciences Collection'	'Biological Sciences;Ecology & Evolutionary Biology'	'2000-11-01'	'45446837'	'00-227427'
'Annals of the American Academy of Political and Social Science'	'0002-7162'		'1890-07-01'	'1'	'None'	'1922-11-01'	'104'	'None'	'http://www.jstor.org/action/showPublication?journalCode=annaameracadpoli'		'annaameracadpoli'	'P4Y'	'fulltext'	'3 years'	'American Academy of Political and Social Science;Sage Publications, Inc.'	'1890-07-01 - 2008-11-01'	'Arts & Sciences VII Collection;For-Profit Academic Arts & Sciences VII Collection'	'Economics;Political Science;Sociology'	'2004-03-01'	'50544474'	'2004-235682'
'Annals of the Missouri Botanical Garden'	'0026-6493'		'1914-03-01'	'1'	'1'	'1922-11-01'	'9'	'4'	'http://www.jstor.org/action/showPublication?journalCode=annamissbotagard'		'annamissbotagard'	'P4Y'	'fulltext'	'3 years'	'Missouri Botanical Garden Press'	'1914-03-01 - 2008-12-01'	'Biological Sciences Collection;Ecology & Botany Collection;For-Profit Academic Biological Sciences Collection;For-Profit Academic Life Sciences Collection;Life Sciences Collection'	'Biological Sciences;Botany & Plant Sciences'	'2000-11-01'	'45446666'	'00-227440'
'Annual Publication of the Historical Society of Southern California'	'2162-9145'		'1905-01-01'	'6'	'3'	'1922-01-01'	'12'	'2'	'http://www.jstor.org/action/showPublication?journalCode=annpubhissocsoca'		'annpubhissocsoca'		'fulltext'	'Absorbed'	'Historical Society of Southern California;University of California Press'	'1905-01-01 - 1934-01-01'		'American Studies;History'	'2011-12-30'		
'Annual Publication of the Historical Society of Southern California (1888)'	'2163-2987'		'1888-01-01'	'1'	'4'	'1888-01-01'	'1'	'4'	'http://www.jstor.org/action/showPublication?journalCode=annualpubhssc'		'annualpubhssc'		'fulltext'	'Absorbed'	'Historical Society of Southern California;University of California Press'	'1888-01-01 - 1888-01-01'		'American Studies;History'	'2011-12-30'		
'Annual Publication of the Historical Society of Southern California (1891)'	'2163-3002'		'1891-01-01'	'1'	'6'	'1891-01-01'	'1'	'6'	'http://www.jstor.org/action/showPublication?journalCode=anpuhisosoca'		'anpuhisosoca'		'fulltext'	'Absorbed'	'Historical Society of Southern California;University of California Press'	'1891-01-01 - 1891-01-01'		'American Studies;History'	'2011-12-30'		
'Annual Publication of the Historical Society of Southern California and of the Pioneers of Los Angeles County'	'2162-9110'		'1902-01-01'	'5'	'3'	'1904-01-01'	'6'	'2'	'http://www.jstor.org/action/showPublication?journalCode=annpubhsscplac'		'annpubhsscplac'		'fulltext'	'Absorbed'	'Historical Society of Southern California;University of California Press'	'1902-01-01 - 1904-01-01'		'American Studies;History'	'2011-12-30'		
